Player	Team	Age	GP	W	L	Min	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	TOV	STL	BLK	PF	FP	DD2	TD3	Plus/Minus
Ja Morant	MEM	25	32	22	10	28.8	20.7	7.1	15.9	44.7	1.6	4.9	32.1	4.9	6.1	81	0.7	3.6	4.3	7.4	3.8	1.3	0.3	1.8	38.1	10	1	6.5
Domantas Sabonis	SAC	28	50	26	24	36.1	20.4	8	13.3	59.9	1.1	2.4	45.8	3.4	4.5	75.3	4	10.3	14.3	6.3	3	0.6	0.4	3.6	47.1	47	8	3.1
Jamal Murray	DEN	27	47	29	18	35.9	20.3	7.6	16.3	46.7	2	5.5	36.9	3	3.5	87.1	0.6	3.3	3.9	6.1	2.1	1.4	0.6	1.9	38.1	5	0	5
Scottie Barnes	TOR	23	41	15	26	34.6	20.2	7.6	17	44.6	1.3	5	26.8	3.6	4.7	77.1	1.5	6.3	7.8	6.3	3	1.5	1.1	2.1	43.8	17	1	-3.1
Miles Bridges	CHA	26	37	10	27	32	19.5	7.2	16.4	43.8	2	6.7	30.4	3.1	3.6	85.9	1.1	6.6	7.7	3.8	2.1	0.6	0.6	1.5	36.2	7	1	-2.4
Lauri Markkanen	UTA	27	39	7	32	32	19.2	6.3	14.8	42.5	2.9	8.5	34.5	3.7	4.3	86.4	1.6	4.5	6.1	1.7	1.4	0.7	0.4	1.8	31.2	4	0	-4.2
Austin Reaves	LAL	26	46	30	16	34.7	19.2	6.3	13.9	45.1	2.6	7	36.7	4.1	4.7	86.6	0.8	3.6	4.4	6.1	2.4	1.2	0.2	2	35.3	6	1	3.2
Cameron Johnson	BKN	28	38	16	22	31.9	19.2	6.4	13	49	3.2	7.6	41.7	3.3	3.6	89.9	0.8	3.3	4.1	2.9	1.6	0.7	0.5	1.7	30.5	1	0	-3
Nikola Vucevic	CHI	34	53	21	32	32.1	19.1	7.8	14.5	53.8	1.8	4.6	38.3	1.7	2.1	80.4	2.3	7.9	10.2	3.5	1.6	0.9	0.7	2.4	39.7	34	1	-2.9
Kristaps Porzingis	BOS	29	28	17	11	28.7	19.1	6.5	13.6	47.4	2.4	6	39.6	3.8	4.5	83.3	1.6	5.5	7.1	2	1	0.8	1.6	2.8	36.8	4	0	2.2
Alperen Sengun	HOU	22	50	33	17	31	19	7.5	15.3	49.1	0.3	1.4	23.9	3.7	5.2	70.1	3.4	7	10.4	4.9	2.4	1.2	0.8	2.8	42.4	30	3	4.5
Michael Porter Jr.	DEN	26	52	33	19	33.3	19	7.2	13.7	52.3	2.7	6.4	41.7	1.9	2.6	74.3	1.7	4.8	6.5	2.2	1.4	0.6	0.5	1.8	32	8	0	6
Jalen Johnson	ATL	23	36	18	18	35.7	18.9	7.5	15.1	50	1.2	3.9	31.2	2.6	3.5	74.6	1.7	8.3	10	5	2.9	1.6	1	1.9	43.1	20	1	1.5
Julius Randle	MIN	30	48	27	21	32.6	18.9	6.6	14	47	1.5	4.6	32.1	4.2	5.2	81.1	2.1	5	7.2	4.5	2.8	0.7	0.2	2.5	34.2	9	0	2
De'Andre Hunter	CLE	27	38	19	19	28.6	18.8	6.1	13.1	46.1	2.6	6.6	39.8	4.1	4.7	85.6	0.7	3.1	3.8	1.5	1.6	0.8	0.1	2.4	27	1	0	-1.6
Evan Mobley	CLE	23	47	39	8	30.1	18.7	7.2	12.6	56.9	1.1	2.9	38.1	3.2	4.2	76.1	2.1	6.9	9	3	1.9	0.9	1.5	2	39.3	23	0	9
Anfernee Simons	POR	25	50	20	30	32.3	18.5	6.5	15.4	42.4	3	8.1	37.5	2.4	2.6	90.2	0.3	2.4	2.7	5	2.1	0.8	0.1	1.8	29.8	2	0	-4.5
Coby White	CHI	24	47	18	29	32.5	18.4	6.2	14.3	43.3	3.1	8.2	37.4	3	3.4	89.3	0.3	3	3.3	4.6	2.4	0.9	0.2	2.2	30.1	1	0	-4.3
Collin Sexton	UTA	26	46	11	35	28.5	18.3	6.5	13.6	47.8	1.9	4.6	41.2	3.5	3.9	89.4	1.1	1.8	2.9	4.1	2.5	0.7	0.1	2.3	27.7	1	0	-2
John Collins	UTA	27	34	10	24	30.3	18.2	6.7	12.7	52.5	1.5	3.3	44.2	3.4	3.9	87.1	2.2	6	8.2	2.2	2.7	1	1.1	3	34.9	11	0	-0.4
Desmond Bane	MEM	26	42	27	15	30.3	18	6.8	13.7	49.7	2.2	5.6	38.6	2.2	2.6	86.2	0.9	4.9	5.8	5.4	2.5	1.2	0.4	2.4	35.5	6	0	4.9
Malik Monk	SAC	27	45	25	20	32.3	18	6.6	14.9	44.3	2.2	6.8	32.4	2.6	2.9	87.1	0.4	3.4	3.8	5.8	2.2	1	0.6	2.7	33.9	3	0	2.2
Mikal Bridges	NYK	28	53	35	18	38.1	17.8	7.3	14.9	49.1	2.3	6.5	35.9	0.9	1.2	74.2	0.9	2.2	3.1	3.3	1.5	1	0.5	1.5	29.4	0	0	5.9
Tyrese Haliburton	IND	24	51	29	22	34	17.8	6.2	13.7	44.9	2.9	7.8	36.6	2.6	3.1	84.6	0.6	3	3.6	8.5	1.8	1.3	0.7	1.4	39	15	0	1
Jaden Ivey	DET	23	30	14	16	29.9	17.6	6.3	13.8	46	2.1	5.1	40.9	2.8	3.9	73.3	1.3	2.8	4.1	4	3	0.9	0.4	2.2	29.4	0	0	-2.1
Dejounte Murray	NOP	28	31	9	22	32.6	17.5	6.3	15.9	39.3	1.7	5.6	29.9	3.3	4	82.3	0.5	5.9	6.5	7.4	3.4	2	0.4	2	40.1	8	1	-6.7
Jimmy Butler III	GSW	35	27	15	12	30.6	17.4	5.7	10.6	53.3	0.5	1.4	33.3	5.6	7	80.4	2.3	3	5.3	4.8	1.2	1.2	0.4	1	34.6	2	1	2.7
Andrew Wiggins	MIA	29	44	21	23	30.2	17.4	6	13.6	44	2.2	5.8	37.5	3.2	4.1	78	1.5	3.1	4.6	2.4	1.3	0.9	0.8	1.6	30.4	3	0	-1.8
Bradley Beal	PHX	31	37	17	20	32.4	17.4	6.6	13.3	49.5	2	5.1	40.1	2.2	2.7	81	0.7	2.7	3.4	3.4	2	1.1	0.6	2.6	29.8	0	0	-4.1
Shaedon Sharpe	POR	21	46	20	26	30.2	17.2	6.4	14.3	44.5	1.9	6.1	31.2	2.5	3.1	80.3	0.7	3.1	3.8	2.4	1.8	0.8	0.2	1.8	26.6	0	0	-4.1
Jordan Clarkson	UTA	32	29	8	21	26.3	16.9	5.7	13.6	41.8	2.4	6.3	37.7	3.1	3.8	82.6	0.6	2.5	3.1	3.8	2.1	0.9	0.3	1.6	27.5	0	0	-7.2
Jonathan Kuminga	GSW	22	32	18	14	26	16.8	6.1	13.2	45.9	1.3	3.6	34.5	3.4	5.3	63.9	1.4	3.6	5	2.2	1.6	0.9	0.6	1.9	28.8	2	0	0.5
Paul George	PHI	34	34	14	20	32	16.6	6.1	14.1	43	2.4	6.5	37.1	2	2.5	82.1	0.6	4.7	5.3	4.4	2.6	1.8	0.4	2.6	33.4	3	0	-1.7
Malik Beasley	DET	28	54	28	26	27.7	16.6	5.8	13.2	43.7	3.9	9.5	41.5	1.1	1.6	66.7	0.6	2.3	2.9	1.7	1.1	0.9	0	1.5	24.5	1	0	1.7
Bam Adebayo	MIA	27	50	25	25	34	16.5	6.4	13.6	46.8	0.7	2.6	28.5	3	4.2	73.1	2.6	7.4	10	4.5	2.2	1.2	0.8	2.1	39.1	28	1	-0.4
Keyonte George	UTA	21	42	8	34	31.4	16.4	5.3	13.5	39.4	2.5	7.6	33.3	3.2	4	81.9	0.4	3.1	3.5	5.8	2.9	0.7	0.2	1.8	29.2	3	0	-7.1
Bennedict Mathurin	IND	22	50	27	23	31.5	16.4	5.7	12.2	47.1	1.5	4.2	34.9	3.4	4.2	81.5	1.2	4.4	5.7	1.9	1.9	0.6	0.4	2.4	27	7	0	1
OG Anunoby	NYK	27	49	32	17	36.3	16.4	6.2	12.8	48.2	2.1	5.8	36.5	1.9	2.4	79.2	1.3	3.4	4.7	2	1.3	1.4	0.9	2.3	30.6	1	0	6.2
Jalen Suggs	ORL	23	35	20	15	28.6	16.2	5.6	13.7	41	2.2	6.9	31.4	2.8	3.1	88.2	0.7	3.4	4	3.7	2.9	1.5	0.9	2.8	30.8	0	0	0.1
Devin Vassell	SAS	24	36	15	21	30.5	16.1	6.1	14	43.9	2.3	6.5	36.1	1.5	2	75.3	0.6	2.9	3.6	2.9	1.5	1.1	0.5	1.6	28.1	0	0	-4.6
Derrick White	BOS	30	51	37	14	33.5	16.1	5.5	12.4	44.1	3.3	8.8	38	1.8	2.1	83.5	0.9	3.3	4.2	4.2	1.5	0.8	1.1	1.9	31.8	1	0	6.5
Kawhi Leonard	LAC	33	14	9	5	25.4	15.7	6.4	13.7	46.4	1.5	4.1	36.2	1.5	1.9	77.8	0.6	4	4.6	2.6	2.1	0.9	0.5	1.3	27	0	0	5.8
Mark Williams	CHA	23	23	4	19	25	15.6	6.1	10.4	58.6	0	0	0	3.4	4.3	78	3.3	6.3	9.6	2.5	1	0.7	1.2	2.6	35.3	8	0	-5.6
Ivica Zubac	LAC	27	50	29	21	32	15.4	6.8	11.1	61.6	0	0	0	1.7	2.8	61.6	3.8	8.9	12.7	2.5	1.7	0.8	1.1	2	38.4	32	0	4.9
Gradey Dick	TOR	21	47	13	34	29.6	15.3	5.2	12.6	41.7	2.2	6.2	34.8	2.7	3	88.1	0.8	2.6	3.4	1.9	1.6	0.9	0.2	2.3	23.9	0	0	-2.7
Jared McCain	PHI	20	23	7	16	25.7	15.3	5.5	11.9	46	2.2	5.8	38.3	2.1	2.4	87.5	0.6	1.9	2.4	2.6	1.6	0.7	0	1.6	22.5	1	0	-1.2
Immanuel Quickley	TOR	25	15	3	12	26.8	15.3	4.9	11.7	42	2.2	5.9	37.5	3.2	3.5	90.6	0.4	2.3	2.7	5.7	1.9	0.5	0.1	1.7	27.1	2	0	-4.1
Kyle Kuzma	MIL	29	35	5	30	28	15.2	5.9	14	42	1.4	5	28	2	3.3	61.7	0.9	5	5.9	2.4	2.3	0.6	0.2	1.7	26.1	3	0	-12.2
Myles Turner	IND	28	46	26	20	30.6	15.1	5.4	11.3	47.5	2	5.1	39.8	2.3	3.1	75.2	1.3	5.3	6.6	1.5	1.9	0.8	1.8	2.8	31.1	8	0	0.9
Chet Holmgren	OKC	22	12	10	2	26	15	5.2	10.5	49.2	1.3	3.6	37.2	3.3	4.4	75.5	1.3	6.8	8.2	1.8	2.2	0.9	2.9	2	36.8	4	0	9.8
Christian Braun	DEN	23	53	34	19	32.8	14.9	5.8	10.1	57.9	1	2.6	37	2.3	2.7	83.3	1.3	3.7	5	2.1	1	1.1	0.5	2.2	28.1	2	0	6.1
Jerami Grant	POR	30	41	19	22	32.4	14.7	4.7	12.2	38.3	2.3	6.1	37.1	3	3.6	85.6	0.6	2.7	3.3	2.2	1.3	0.8	1	2.3	26	0	0	-4.6
Josh Hart	NYK	29	52	34	18	37.6	14.7	5.7	10.1	56	1.1	3.3	34.3	2.2	2.7	80.1	2.2	7.4	9.6	5.7	1.9	1.6	0.3	2.6	38.6	24	7	3.9
Fred VanVleet	HOU	30	45	30	15	35.5	14.6	5	13	38.7	2.7	7.8	34.4	1.9	2.3	82.4	0.7	3.2	3.9	5.8	1.6	1.6	0.4	2.4	32.6	4	0	4.7
Deni Avdija	POR	24	51	23	28	28.7	14.5	4.8	10.4	46	1.5	4.4	34.1	3.5	4.4	77.9	1.2	5.2	6.4	3.5	2.5	1	0.5	2.3	29.6	7	0	-2.8
Deandre Ayton	POR	26	40	17	23	30.1	14.4	6.6	11.7	56.6	0.2	0.8	18.8	1	1.5	66.7	3.1	7.1	10.2	1.6	1.7	0.8	1	2.2	32.5	20	0	-4.1
P.J. Washington	DAL	26	43	26	17	32.5	14.2	5.1	11.7	43.7	1.6	4.2	37.8	2.5	3.3	75.7	1.6	6.6	8.2	2.3	1.9	1.2	1	2.4	32.4	13	0	3.4
Kelly Oubre Jr.	PHI	29	50	19	31	34.6	14.2	5.5	11.9	46.1	1.1	4	28.2	2.1	2.8	74.1	1.7	4.9	6.5	1.9	1.3	1.5	0.5	2.9	29.7	10	0	-2.9
Jakob Poeltl	TOR	29	45	16	29	30.9	14.2	6.2	10.2	61	0	0	0	1.7	2.6	65.8	3.5	6.6	10.1	2.8	1.9	1.2	1.3	3.3	36	19	0	-2.2
Naz Reid	MIN	25	53	29	24	26.4	14.1	5.2	10.9	48.3	2.2	5.4	41.6	1.4	1.8	77.4	1	4.3	5.3	1.9	1.2	0.8	0.9	2.4	27.1	4	0	2.9
Tre Mann	CHA	24	13	6	7	24.5	14.1	5.4	12.4	43.5	1.8	4.6	40	1.5	1.6	90.5	0.9	2	2.9	3	1.9	0.5	0.3	1.8	22.7	0	0	-4.2
Dennis Schroder	DET	31	49	22	27	29.2	14	5	12	41.5	2	5.5	35.8	2.1	2.5	84.7	0.3	2.3	2.6	5.4	2.2	1	0.1	2.5	26.5	4	0	-2.2
Payton Pritchard	BOS	27	53	37	16	27.8	13.9	4.9	10.4	47.1	3.2	7.6	41.6	1	1.2	83.6	1.3	2.5	3.8	3.5	1	0.9	0.2	1.6	26	3	0	6.4
Bobby Portis	MIL	30	45	26	19	25.3	13.8	5.6	12.2	46.4	1.3	3.6	36.6	1.2	1.5	82.1	1.8	6.6	8.4	2.2	1.2	0.7	0.6	1.9	29.7	9	0	1.5
Amen Thompson	HOU	22	50	31	19	31.7	13.8	5.3	9.7	54.6	0.3	1.3	25.8	2.9	4	71.1	2.7	5.3	8	3.3	2.1	1.4	1.2	2.4	34.3	14	2	2.5
Klay Thompson	DAL	35	47	23	24	27.2	13.8	5	11.9	42	3	7.6	39.3	0.8	0.9	90.2	0.6	2.8	3.4	2	1.4	0.8	0.4	1.3	23.2	0	0	3.1
Dyson Daniels	ATL	21	49	24	25	33.9	13.7	5.7	12.2	46.9	1.1	3.4	32.7	1.2	1.9	62	1.7	3.8	5.5	4	1.9	3	0.8	2.5	35.7	4	0	-2.8
Jarrett Allen	CLE	26	53	43	10	28.9	13.6	5.5	7.9	69.8	0	0	0	2.5	3.4	74.9	2.7	7.7	10.3	2	1.2	0.9	0.9	1.5	33.5	29	0	6.9
Dillon Brooks	HOU	29	50	31	19	32.5	13.6	4.9	11.9	41.5	2.3	6.1	38.5	1.4	1.7	83.5	1.2	2.6	3.9	1.5	1	0.8	0.2	3.5	22.5	0	0	2.7
Jordan Goodwin	LAL	26	2	2	0	23.2	13.5	6	9	66.7	1	2	50	0.5	0.5	100	2.5	3.5	6	1	1	1	0	2	24.2	0	0	0.5
Tobias Harris	DET	32	52	27	25	31.9	13.4	5.2	11.2	45.9	1.2	3.8	32.3	1.8	2.1	87.3	0.9	5	5.9	2.3	1.1	0.9	0.8	1.8	28	4	0	2.5
Rui Hachimura	LAL	27	44	27	17	32	13.2	5	9.8	50.9	1.7	3.9	42.9	1.6	2	79.3	1.5	3.7	5.2	1.5	0.9	0.9	0.5	1.9	24.8	1	0	2
Russell Westbrook	DEN	36	48	29	19	27.7	13	4.9	10.3	47.7	1.1	3.5	33.1	2	3.2	64.1	1.4	3.7	5.1	6.4	3	1.5	0.5	2.5	31.7	9	3	1.3
D'Angelo Russell	BKN	28	44	23	21	25.6	12.9	4.4	11	40	2	6	32.8	2.2	2.5	87.4	0.3	2.5	2.8	5.1	1.9	1	0.4	1.9	26.2	3	0	0.7
Moritz Wagner	ORL	27	30	18	12	18.8	12.9	4.7	8.3	56.2	0.9	2.5	36	2.6	3.7	71.8	1.3	3.6	4.9	1.4	1.6	0.8	0.4	1.8	22.9	1	0	-0.6
Santi Aldama	MEM	24	45	31	14	24.6	12.8	5	10.1	49.3	1.8	4.6	37.8	1.1	1.5	72.1	1.6	5.1	6.7	2.5	1.1	0.8	0.5	1.1	27.5	9	0	5.1
Stephon Castle	SAS	20	50	22	28	25.6	12.7	4.6	10.9	41.9	1.1	3.8	28.8	2.5	3.5	72.8	0.8	2	2.8	3.6	1.9	0.8	0.3	1.7	22.9	0	0	-0.8
Malcolm Brogdon	WAS	32	23	6	17	23.9	12.7	4.3	10	42.9	0.7	2.4	28.6	3.4	3.9	87.8	0.9	3	4	4	1.6	0.6	0.2	1.3	24.2	2	0	-5.3
Khris Middleton	WAS	33	23	12	11	23.2	12.6	4.7	9.2	51.2	1.5	3.7	40.7	1.7	2	84.8	0.2	3.5	3.7	4.4	1.6	0.7	0.2	2.3	25	0	0	2.5
Bilal Coulibaly	WAS	20	49	9	40	33.4	12.6	4.5	10.7	42.1	1.1	3.9	28.3	2.5	3.2	76.1	1.5	3.6	5.1	3.4	2.1	1.3	0.7	2.4	28	2	1	-11.7
Scoot Henderson	POR	21	47	21	26	26.5	12.4	4.2	9.8	43.4	1.5	4	36.5	2.5	3.1	78.9	0.7	2.3	3	5.3	2.6	1.1	0.3	2.6	25.5	2	0	-2.2
Terry Rozier	MIA	30	47	21	26	28.5	12.4	4.6	11.2	40.7	1.6	5.3	30.6	1.6	1.9	85.6	0.8	3.3	4.1	2.9	1.4	0.6	0.3	1.4	22.8	0	0	-2.4
Daniel Gafford	DAL	26	51	26	25	21.9	12.3	5	7.1	69.9	0	0	0	2.4	3.4	69.9	2.7	4.1	6.9	1.4	1.2	0.4	1.9	2.7	28.4	8	0	0.9
Ayo Dosunmu	CHI	25	43	16	27	30.4	12.3	4.8	9.7	49.3	1.4	4.1	34.5	1.3	1.7	78.9	0.6	2.9	3.4	4.6	1.4	0.9	0.4	2.3	25.8	1	1	-5.1
Brook Lopez	MIL	36	51	28	23	31.8	12.1	4.6	9.7	47.4	1.9	5.1	36.7	1.1	1.4	81.2	1.2	3.5	4.7	1.7	1	0.7	1.9	2.2	27.2	1	0	1.2
Aaron Gordon	DEN	29	32	22	10	26.5	12.1	4.2	8.4	50.2	1.1	2.7	41.4	2.6	3.2	79.6	1.5	3.3	4.8	3.2	1.3	0.5	0.3	1.5	23.6	2	0	6.9
Keegan Murray	SAC	24	50	25	25	35	12.1	4.7	10.8	43.7	1.8	5.6	32.4	0.9	1	82.7	2.1	4.9	7	1.4	0.9	0.8	0.9	2.6	26.9	11	0	0.4
Josh Giddey	CHI	22	50	21	29	28.7	12.1	4.6	10.3	44.6	1.3	3.9	33.7	1.6	2.1	75.5	1.6	5.6	7.2	6.5	2.7	1.1	0.6	1.6	32.7	15	2	-3.5
Daeqwon Plowden	ATL	26	2	1	1	16.4	12	4	5	80	3	4	75	1	1	100	1.5	1	2.5	0	0.5	0	0	2.5	14.5	0	0	6
Onyeka Okongwu	ATL	24	47	22	25	25.2	12	4.7	8.4	56.5	0.4	1.6	27.6	2	2.7	75.4	2.8	5.1	7.9	2	1	0.8	0.9	2.4	28.5	13	0	-0.9
Jabari Smith Jr.	HOU	21	33	22	11	30.9	11.9	4.1	9.5	43.5	1.7	4.8	35.4	2	2.3	86.7	1.8	4.7	6.5	1	0.9	0.4	1	2.3	24.3	5	0	3.3
Jeremy Sochan	SAS	21	32	13	19	26.5	11.9	4.8	8.8	54.4	0.5	1.5	34	1.8	2.5	72.2	2.5	4.8	7.3	2.6	1.8	0.9	0.6	2.4	27.2	7	0	-0.4
Buddy Hield	GSW	32	53	27	26	23.7	11.8	4.3	10.3	41.4	2.6	7	37	0.7	0.8	82.2	0.6	2.8	3.4	1.7	1.2	0.9	0.3	1.8	20.7	0	0	0.1
Harrison Barnes	SAS	32	51	23	28	28	11.8	4.1	8	50.6	1.6	3.8	42.5	2.1	2.6	80.5	1.5	2.6	4.1	1.7	0.6	0.4	0.2	1	20.5	1	0	0.6
Keldon Johnson	SAS	25	48	21	27	23.3	11.6	4.3	9.6	45.2	1.1	3.6	30.2	1.9	2.5	77.1	1.3	3.3	4.6	1.3	0.9	0.6	0.2	1.4	20.7	2	0	-3.6
Corey Kispert	WAS	25	48	8	40	26.8	11.6	4.3	9.5	44.9	1.9	5.5	35.2	1.1	1.3	87.1	0.7	2.4	3	1.7	1.1	0.5	0.2	1.6	18.9	0	0	-4.8
Alex Sarr	WAS	19	41	5	36	26.8	11.5	4.3	10.9	39.7	1.4	4.6	30.7	1.4	2.1	64.4	1.8	4.8	6.6	2.2	1.4	0.7	1.6	2.4	28	6	0	-10
Ty Jerome	CLE	27	50	41	9	19.1	11.4	4.2	8.1	51.6	1.5	3.4	42.7	1.6	1.8	89.8	0.7	1.7	2.5	3.4	1.2	1.2	0	1.4	21.7	0	0	4.4
Zaccharie Risacher	ATL	19	47	24	23	23.7	11.3	4.3	9.9	43	1.3	4.1	31.3	1.5	2.2	70.6	1.3	2.1	3.4	1.2	1.1	0.8	0.4	2	19.8	0	0	-2
Jonas Valanciunas	SAC	32	52	10	42	19.8	11.3	4.6	8.5	54.4	0.1	0.5	25.9	2	2.2	89.5	2.5	5.6	8.1	2.2	1.8	0.4	0.6	2.1	25.5	14	0	-6.3
Jaden McDaniels	MIN	24	54	30	24	31.6	11.3	4.4	9.5	47	1.3	3.8	34	1.1	1.4	80.5	1.5	4	5.5	1.7	1.1	1.5	0.9	3	26.4	5	0	1.1
Isaiah Hartenstein	OKC	26	32	29	3	29	11.3	4.8	8.7	56	0	0.4	0	1.6	2.5	64.6	3.1	8.9	12.1	4.1	1.8	0.8	1.1	2.9	35.9	18	0	9.5
Naji Marshall	DAL	27	41	21	20	24.5	11.2	4.5	8.8	50.8	0.9	2.9	31.6	1.4	1.7	84.1	0.8	2.8	3.6	2.6	1.3	1	0.1	1.5	21.4	1	0	-0.2
Walker Kessler	UTA	23	41	10	31	30.3	11.2	4.8	6.8	71	0	0.1	33.3	1.5	2.7	55.4	4.6	7.3	11.9	1.6	1.5	0.6	2.3	2.2	35	22	0	-4.2
Guerschon Yabusele	PHI	29	50	20	30	26.7	11.2	4.1	8	51.8	1.6	3.9	40.2	1.4	1.9	74.2	1.9	3.7	5.6	2	1.3	0.8	0.4	2.5	23.3	3	0	-1
Tyus Jones	PHX	28	52	26	26	29.5	11.1	4.1	9.1	45.6	2.1	5.1	40.8	0.8	0.9	88.9	0.6	1.9	2.4	6	1.3	0.9	0.1	1	24.7	5	0	-2.1
Tari Eason	HOU	23	35	20	15	23.9	11.1	4.3	9.1	47.3	1	2.9	33.7	1.6	2.1	75.3	2.1	4.1	6.3	1.1	0.9	1.9	0.9	2.4	27.9	3	0	2.2
Jaylen Wells	MEM	21	53	36	17	25.7	11.1	3.9	8.9	44.2	1.8	4.9	37.5	1.4	1.7	84.1	1.1	2.1	3.2	1.7	0.9	0.6	0.1	1.9	18.5	1	0	3.3
Nikola Jovic	MIA	21	42	20	22	25.1	11	3.8	8.2	46.4	1.8	4.6	38.5	1.7	2	83.5	0.6	3.4	4	2.9	1.3	0.9	0.3	1.7	22.3	0	0	-0.8
Grayson Allen	PHX	29	43	24	19	25	11	3.5	7.9	44.8	2.5	5.9	43.3	1.4	1.7	83.6	0.6	2.7	3.4	2.1	1	1	0.3	1.4	21	1	0	0.5
Donte DiVincenzo	MIN	28	40	21	19	26.4	11	3.7	9.3	39.7	2.6	7	36.9	1	1.3	82	0.6	3.1	3.7	3.6	1.8	1.2	0.2	1.6	23.2	1	0	0.7
Jrue Holiday	BOS	34	44	31	13	30.2	11	4	9.1	43.8	1.8	5.1	34.2	1.2	1.4	90	1.1	3.3	4.4	3.7	1.3	1	0.4	1.6	24.7	0	0	3.3
Aaron Wiggins	OKC	26	52	43	9	22	10.9	4.3	8.5	50.2	1.5	4	38.5	0.8	0.9	85.4	1.1	2.6	3.7	1.6	0.8	0.8	0.2	1.3	19.9	2	0	7.1
Rudy Gobert	MIN	32	54	30	24	33.2	10.8	4.2	6.4	65	0	0	0	2.5	3.6	68	3.5	6.9	10.4	1.8	1.4	0.7	1.6	2.4	31.3	24	0	2.6
Duncan Robinson	MIA	30	49	23	26	24.2	10.7	3.8	9	42	2.4	6.5	37.7	0.7	0.8	89.5	0.3	2.1	2.3	2.6	1.1	0.6	0.1	2	18.3	0	0	0.8
Jalen Duren	DET	21	51	27	24	25.6	10.7	4.5	6.5	69.1	0	0	0	1.8	2.6	68.2	3.6	6.5	10.1	2.5	1.9	0.6	1.1	3.2	30	23	0	-0.8
Brandon Boston	NOP	23	42	8	34	23.6	10.7	4	9.1	43.6	1.2	3.3	35	1.6	2	78.8	0.7	2.5	3.2	2.2	1.2	1.3	0.2	1.7	21	0	0	-3.3
Tim Hardaway Jr.	DET	32	50	26	24	28.4	10.6	3.5	8.4	41.1	2.1	5.7	37.5	1.6	1.9	82.5	0.2	2.1	2.3	1.6	0.7	0.5	0.1	1.3	16.6	0	0	-0.5
Jordan Hawkins	NOP	22	35	10	25	23.1	10.6	3.6	10.1	36.1	1.9	5.7	32.8	1.5	1.8	83.9	0.4	2.1	2.5	1	0.9	0.6	0.4	0.8	17.2	0	0	-5.8
Andrew Nembhard	IND	25	36	23	13	28.4	10.5	3.9	8.4	47	0.8	2.4	31.8	1.9	2.4	77.3	0.5	2.8	3.3	4.9	1.8	1.3	0.1	2.3	24.4	0	0	2.9
Spencer Dinwiddie	DAL	31	52	27	25	25.2	10.5	3.3	8	41.7	1.4	4	35.6	2.4	2.8	83.7	0.2	2.2	2.4	3.7	1.1	0.9	0.2	1.5	21.1	1	0	-0.3
Derrick Jones Jr.	LAC	27	50	28	22	25.2	10.5	4.2	8.1	52.1	1	2.8	36.4	1.1	1.4	75.7	1.4	2.3	3.7	0.9	0.9	1.2	0.4	2	20	0	0	2.8
Caris LeVert	ATL	30	40	35	5	23.8	10.4	3.6	7.9	45.4	1.6	4	40.3	1.6	2.3	71.4	0.6	2.4	3	3.6	1.3	0.8	0.5	1.4	21.8	0	0	5.9
Grant Williams	CHA	26	16	6	10	29.9	10.4	3.4	7.7	43.9	1.7	4.6	36.5	1.9	2.3	83.8	1.1	4	5.1	2.3	1.8	1.1	0.8	2.9	24.1	0	0	0.6
Quentin Grimes	PHI	24	50	25	25	23.3	10.3	3.7	7.9	46.1	1.7	4.4	38.8	1.3	1.7	76.7	0.7	3.2	3.9	2.2	1.3	0.7	0.2	1.7	19.9	0	0	-0.3
Amir Coffey	LAC	27	51	29	22	26	10.3	3.6	7.5	47.6	1.6	3.8	43.2	1.6	1.7	89.9	0.5	1.9	2.4	1.1	0.7	0.6	0.1	1.7	16.3	0	0	0
De'Anthony Melton	BKN	26	6	4	2	20.2	10.3	3.7	9	40.7	2.2	5.8	37.1	0.8	1.3	62.5	1	2.3	3.3	2.8	1.7	1.2	0.3	3	21.4	1	0	4.5
Ochai Agbaji	TOR	24	48	14	34	27.9	10.3	4.1	8.1	51	1.5	3.9	39	0.5	0.8	65.8	0.9	2.9	3.8	1.6	0.8	0.9	0.6	1.9	20.8	0	0	-4
Herbert Jones	NOP	26	20	5	15	32.4	10.3	3.8	8.6	43.6	1.1	3.6	30.6	1.7	2	82.5	1.1	2.8	3.9	3.3	1.8	1.9	0.5	3.3	25	0	0	-1
Chris Boucher	TOR	32	46	17	29	17.3	10.2	3.7	7.5	49.1	1.4	3.9	36.5	1.4	1.7	78.8	1.3	3.1	4.4	0.6	0.6	0.5	0.5	1.4	18.8	2	0	-0.5
Gary Trent Jr.	MIL	26	47	26	21	25	10.1	3.5	8.2	43.1	2.3	5.4	42.6	0.7	0.9	82.9	0.2	2.1	2.4	1.1	0.6	1	0.1	1.9	17.2	0	0	0
Toumani Camara	POR	24	52	21	31	32.2	10.1	3.8	8.5	44.5	1.5	4.1	35.8	1.1	1.4	73.3	2.3	3.6	5.9	2	1.5	1.4	0.6	3	24.7	2	0	-3.5
Nic Claxton	BKN	25	46	14	32	26.4	10	4.4	8	55	0	0.3	7.1	1.2	2.3	52.9	2	5.4	7.4	1.9	1.2	1	1.3	2.1	27.5	10	0	-7.1
