Player	Team	Age	GP	W	L	Min	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	TOV	STL	BLK	PF	FP	DD2	TD3	Plus/Minus
Alex Len	LAL	31	36	19	17	7.2	1.4	0.6	1.1	53.7	0	0.2	16.7	0.2	0.4	53.8	0.7	1.1	1.8	0.8	0.3	0.2	0.5	1	6.7	0	0	-2.6
Colin Castleton	MEM	24	10	9	1	4.6	1.4	0.2	1	20	0	0.4	0	1	1.1	90.9	0.3	0.6	0.9	0	0.1	0.1	0.1	0.6	3	0	0	0.5
Matt Ryan	NYK	27	18	14	4	3.5	1.4	0.5	1.6	32.1	0.3	0.9	29.4	0.1	0.1	100	0	0.4	0.4	0.1	0.2	0.1	0	0.1	2.1	0	0	-2.1
Adam Flagler	OKC	25	21	19	2	4.2	1.4	0.5	2.5	21.2	0.3	2	16.7	0	0	0	0.1	0.2	0.4	0	0	0.2	0	0.4	2.6	0	0	-0.8
Jack McVeigh	HOU	28	6	5	1	3.6	1.3	0.5	1.8	27.3	0.3	1.3	25	0	0	0	0.2	0.5	0.7	0.2	0.2	0	0.2	0.2	2.7	0	0	0.3
Sidy Cissoko	POR	20	17	8	9	3.2	1.3	0.5	1.1	50	0.2	0.4	42.9	0.1	0.4	16.7	0.2	0.4	0.6	0.4	0.1	0.1	0	0.4	2.6	0	0	0.2
Yuki Kawamura	MEM	23	19	16	3	3.3	1.3	0.4	1.2	36.4	0.2	0.8	25	0.2	0.3	66.7	0	0.4	0.4	0.7	0.2	0.1	0	0.4	2.8	0	0	-0.1
Cam Christie	LAC	19	5	2	3	5.7	1.2	0.4	1.8	22.2	0.2	1.2	16.7	0.2	0.4	50	0.2	1	1.2	0.4	0.4	0.4	0	0.4	4	0	0	1.4
JD Davison	BOS	22	5	5	0	4.7	1.2	0.4	1	40	0.2	0.6	33.3	0.2	0.4	50	0	0.4	0.4	0.2	1.2	0.2	0	0.2	1.4	0	0	-6
Chris Livingston	MIL	21	12	9	3	4.8	1.2	0.4	1.1	38.5	0	0.3	0	0.3	0.5	66.7	0.5	1.1	1.6	0.1	0.4	0.3	0	0.3	3.8	0	0	-1.4
Luke Travers	CLE	23	7	6	1	6.9	1.1	0.4	1.1	37.5	0	0.6	0	0.3	0.3	100	0.3	0.7	1	0.7	0.6	0.1	0.1	0.6	3.7	0	0	0.4
Colby Jones	WAS	22	24	10	14	5.4	1.1	0.5	1.1	42.3	0.2	0.4	40	0	0	0	0.3	0.6	1	0.3	0.3	0.3	0.3	0.5	4	0	0	0.2
PJ Hall	DEN	22	14	11	3	3	1.1	0.4	0.9	50	0	0.3	0	0.2	0.3	75	0.2	0.8	1	0.2	0.1	0	0.1	0.4	2.7	0	0	-0.6
Jared Rhoden	CHA	25	4	1	3	2.9	1	0.5	2	25	0	0.5	0	0	0	0	0.5	0.5	1	0.5	0.3	0.3	0	0.3	3.5	0	0	2
Trey Alexander	DEN	21	18	12	6	4.4	1	0.4	1.3	29.2	0.1	0.6	20	0.1	0.1	100	0	0.5	0.5	0.4	0.2	0.1	0.1	0.4	2.4	0	0	-0.6
Xavier Tillman	BOS	26	27	22	5	7.2	0.9	0.4	1.5	24.4	0.1	0.9	17.4	0	0.1	50	0.3	1	1.3	0.3	0.3	0.3	0.2	0.6	4	0	0	0.1
